NinetiesAntiHero,Spawn,ComicBook,Spawn,Greater God,NULL,Ambiguity
AntiHero,Guts,Manga,Berserk,Intermediate God,NULL,Ambiguity
GoodIsNotNice,Ragna the Bloodedge,Franchise,BlazBlue,Greater God,NULL,Ambiguity
WildCard,Lambdadelta,VisualNovel,UminekoWhenTheyCry,Greater God,NULL,Ambiguity
AffablyEvil,Lucifer,Franchise,ShinMegamiTensei,Overdeity,NULL,Ambiguity
AntiVillain,Dr. Victor Fries/Mr. Freeze,Franchise,Batman,Lesser God,NULL,Ambiguity
BalanceBetweenGoodAndEvil,The Ones,WesternAnimation,StarWarsTheCloneWars,Overdeity,NULL,Ambiguity
PunchClockVillain,Ralph,WesternAnimation,WreckItRalph,Lesser God,NULL,Ambiguity
AHeroToHisHometown,Black Adam,ComicBook,Shazam,Greater God,AntiHeroism,Ambiguity
NominalHero,Kaito Kumon/Kamen Rider Baron,Series,KamenRiderGaim,Intermediate God,AntiHeroism,Ambiguity
IWasJustPassingThrough,"Kaizoku Sentai Gokaiger (Captain Marvelous, Joe Gibken, Luka Millfy, Don Dogoier, Ahim de Famille, Gai Ikari)",Series,KaizokuSentaiGokaiger,Intermediate God,AntiHeroism,Ambiguity
NobleDemon,Laharl,VideoGame,DisgaeaHourOfDarkness,Intermediate God,AntiHeroism,Ambiguity
UnscrupulousHero,Lina Inverse,Literature,Slayers,Intermediate God,AntiHeroism,Ambiguity
NecessarilyEvil,"Night Raid (Tatsume, Akame, Leone, Bulat, Lubbock, Mine, Sheele, Najenda, Susanoo and Chelsea),"Manga,AkameGaKill,Intermediate God,AntiHeroism,Ambiguity
HeroicNeutral,"The Blitz Team (Bit Cloud, Liger Zero, Leena Toros, Brad Hunter, Jamie Hemeros and Dr. Steven Toros)", Anime,ZoidsNewCentury,Lesser God,AntiHeroism,Ambiguity
SerialKillerKiller,Dexter Morgan,Series,Dexter,Lesser God,AntiHeroism,Ambiguity
NotEvilJustMisunderstood,Elphaba Thropp,Theatre,Wicked,Lesser God,AntiHeroism,Ambiguity
AntiHeroTeam,"The Guardians of the Galaxy (Peter Quill, Drax the Destroyer, Gamora, Rocket Raccoon and Groot)",ComicBook,GuardiansOfTheGalaxy,Lesser God,AntiHeroism,Ambiguity
HeroicComedicSociopath,Sam & Max,Franchise,SamAndMax,Lesser God,AntiHeroism,Ambiguity
SociopathicHero,Travis Touchdown,VideoGame,NoMoreHeroes,Lesser God,AntiHeroism,Ambiguity
AntiRoleModel,Dan Mandel,WesternAnimation,DanVs,Demigod,AntiHeroism,Ambiguity
RetiredOutlaw,John Marston,VideoGame,RedDeadRedemption,Demigod,AntiHeroism,Ambiguity
HeroWithAnFInGood,Isaac Dian and Miria Harvent,Literature,Baccano,Quasideity,AntiHeroism,Ambiguity
ShootTheDog,Travis Coates and Old Yeller,Literature,OldYeller,Quasideity,AntiHeroism,Ambiguity
ShadowArchetype,The Batman Who Laugs,ComicBook,DarkKnightsMetal,Intermediate God,NULL,Derivatives
AlternateUniverseReedRichardsIsAwesome,Gwen Stacy/Spider-Gwen,ComicBook,SpiderGwen,Intermediate God,NULL,Derivatives
ModifiedClone,Mewtwo,Franchise,Pokemon,Greater God,NULL,Derivatives
CaptainErsatz,Foxy,WesternAnimation,LooneyTunes,Demigod,NULL,Derivatives
CorruptedCharacterCopy,"The Seven (Homelander, Queen Maeve, Black Noir, The Deep, Jack from Jupiter, Translucent, A-Train and Starlight)",ComicBook,TheBoys,Intermediate God,NULL,Derivatives
StrawCharacter,Stephen Colbert,Series,TheColbertReport,Lesser God,NULL,Derivatives
EvilMeScaresMe,Darquesse,Literature,SkulduggeryPleasant,Overdeity,ClonesAndCounterparts,Derivatives
OddballDoppelganger,Bizarro,Franchise,Superman,Greater God,ClonesAndCounterparts,Derivatives
FutureMeScaresMe,Dark Danny,WesternAnimation,DannyPhantom,Greater God,ClonesAndCounterparts,Derivatives
OtherMeAnnoysMe,Lord Drakkon,ComicBook,MightyMorphinPowerRangersBoomStudios,Greater God,ClonesAndCounterparts,Derivatives
EvilKnockoff,Jeanne d'Arc Alter,VideoGame,FateGrandOrder,Greater God,ClonesAndCounterparts,Derivatives
ReplacementGoldfish,Roboking,VideoGame,KatamariDamacy,Greater God,ClonesAndCounterparts,Derivatives
CloneAngst,Ben Reilly/Scarlet Spider and Kaine Parker/Scarlet Spider IV,ComicBook,SpiderMan,Intermediate God,ClonesAndCounterparts,Derivatives
CopiedTheMoralsToo,Dark Pit,VideoGame,KidIcarusUprising,Intermediate God,ClonesAndCounterparts,Derivatives
LeftHandedMirror,Golbez,VideoGame,FinalFantasyIV,Intermediate God,ClonesAndCounterparts,Derivatives
CloneDegeneration,The Grineer,VideoGame,Warframe,Intermediate God,ClonesAndCounterparts,Derivatives
ClonesArePeopleToo,Lea,VideoGame,CrossCode,Intermediate God,ClonesAndCounterparts,Derivatives
RobotMe,Metal Sonic,Franchise,SonicTheHedgehog,Intermediate God,ClonesAndCounterparts,Derivatives
DoppelgangerGetsSameSentiment,The T-850,Film,Terminator3RiseOfTheMachines,Intermediate God,ClonesAndCounterparts,Derivatives
CloneJesus,Vivio Takamachi,Manga,MagicalGirlLyricalNanohaViVid,Intermediate God,ClonesAndCounterparts,Derivatives
IHatePastMe,Boris the Animal,Film,MenInBlack3,Lesser God,ClonesAndCounterparts,Derivatives
OppositeSexClone,Laura Kinney/X-23,Franchise,MarvelComics,Lesser God,ClonesAndCounterparts,Derivatives
ExpendableClone,Niko Kanna,Manga,PuellaMagiKazumiMagica,Lesser God,ClonesAndCounterparts,Derivatives
TemporalDuplication,Lars Fillmore,WesternAnimation,Futurama,Demigod,ClonesAndCounterparts,Derivatives
CrystalDragonJesus,Aslan,Literature,TheChroniclesOfNarnia,Greater God,RealAndLegendaryPastiches,Derivatives
SatanicArchetype,Lucemon,Franchise,Digimon,Greater God,RealAndLegendaryPastiches,Derivatives
JeanneDArchetype Jeanne d'Arc,UsefulNotes,JoanOfArc,Greater God,RealAndLegendaryPastiches,Derivatives
TheAhnold,Jorgen Von Strangle,WesternAnimation,TheFairlyOddParents,Greater God,RealAndLegendaryPastiches,Derivatives
DemiurgeArchetype,Wick,ComicBook,CliveBarkersNextTestament,Greater God,RealAndLegendaryPastiches,Derivatives
LooksLikeJesus,Qui-Gon Jinn,Franchise,StarWars,Intermediate God,RealAndLegendaryPastiches,Derivatives
MessianicArchetype,Tassadar,VideoGame,StarCraft,Intermediate God,RealAndLegendaryPastiches,Derivatives
MrAltDisney,Bigweld,WesternAnimation,Robots,Lesser God,RealAndLegendaryPastiches,Derivatives
AuthorAvatar,Estonia,Webcomic,HetaliaAxisPowers,Lesser God,RealAndLegendaryPastiches,Derivatives
AudienceSurrogate,Jaune Arc,WebAnimation,RWBY,Lesser God,RealAndLegendaryPastiches,Derivatives
Trumplica,President Business,WesternAnimation,TheLegoMovie,Lesser God,RealAndLegendaryPastiches,Derivatives
MockCousteau,Steve Zissou,Film,TheLifeAquaticWithSteveZissou,Demigod,RealAndLegendaryPastiches,Derivatives
WarIsHell,Paul BÃ¤umer,Literature,AllQuietOnTheWesternFront,Quasideity,ValuesAndEthics,Philosophy
